"Project","vscode"
"Directory Scanned","/Users/hobbit/github/galasa/vscode"
"Date","2020-05-26T13:06:06.106Z"
"CLI Version","2.2.35"
"WILD Version","1.0.201"
""
"Name","Version","Need Pedigree Review","Reason","Review Level","License Types","Declared License","License Status","Path"
"map-cache","0.2.2","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/map-cache"
"map-visit","1.0.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/map-visit"
"matchdep","2.0.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/matchdep"
"findup-sync","2.0.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/matchdep/node_modules/findup-sync"
"micromatch","3.1.10","false","Exempt - Version closely related to 3.1.4","2","MIT","MIT","Approved","node_modules/micromatch"
"mime-db","1.44.0","true","New version and not exempt","","AML,MIT","MIT","Approved","node_modules/mime-db"
"mime-types","2.1.27","false","Exempt - Version closely related to 2.1.11","2","MIT","MIT","Approved","node_modules/mime-types"
"minimatch","3.0.4","false","Exempt - Version closely related to 3.0.3","2","ISC","ISC","Approved","node_modules/minimatch"
"minimist","1.2.5","false","Exempt - Version closely related to 1.2.0","2","MIT","MIT","Approved","node_modules/minimist"
"mixin-deep","1.3.2","false","Exempt - Version closely related to 1.3.0","2","MIT","MIT","Approved","node_modules/mixin-deep"
"mkdirp","0.5.5","false","Exempt - Version closely related to 0.5.0","2","UNKNOWN,X11","MIT","Needs Review","node_modules/mkdirp"
"mute-stdout","1.0.1","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/mute-stdout"
"nan","2.14.1","false","Exempt - Version closely related to 2.14.0","2","MIT,UNKNOWN","MIT","Needs Review","node_modules/nan"
"1to2","1.0.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/nan/tools"
"nanomatch","1.2.13","true","New package and not exempt","","MIT","MIT","Approved","node_modules/nanomatch"
"next-tick","1.0.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/next-tick"
"normalize-package-data","2.5.0","false","Previously pedigree reviewed","2","BSD-2-Clause,MIT","BSD-2-Clause","Approved","node_modules/normalize-package-data"
"semver","5.7.1","false","Previously pedigree reviewed","2","ISC","ISC","Approved","node_modules/normalize-package-data/node_modules/semver"
"now-and-later","2.0.1","false","Exempt - Version closely related to 2.0.0","2","MIT","MIT","Approved","node_modules/now-and-later"
"number-is-nan","1.0.1","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/number-is-nan"
"oauth-sign","0.9.0","false","Previously pedigree reviewed","2","Apache-2.0","Apache-2.0","Approved","node_modules/oauth-sign"
"object-copy","0.1.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/object-copy"
"object-keys","1.1.1","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/object-keys"
"object-visit","1.0.1","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/object-visit"
"object.assign","4.1.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/object.assign"
"object.defaults","1.1.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/object.defaults"
"object.map","1.0.1","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/object.map"
"object.pick","1.3.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/object.pick"
"object.reduce","1.0.1","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/object.reduce"
"once","1.4.0","false","Previously pedigree reviewed","2","ISC","ISC","Approved","node_modules/once"
"ordered-read-streams","1.0.1","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/ordered-read-streams"
"os-locale","1.4.0","false","Exempt - Expected license matched","2","MIT","MIT","Approved","node_modules/os-locale"
"parse-filepath","1.0.2","false","Exempt - Version closely related to 1.0.1","2","MIT","MIT","Approved","node_modules/parse-filepath"
"parse-json","2.2.0","false","Previously pedigree reviewed","2","MIT,WTFPL","MIT","Approved","node_modules/parse-json"
"parse-node-version","1.0.1","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/parse-node-version"
"parse-passwd","1.0.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/parse-passwd"
"pascalcase","0.1.1","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/pascalcase"
"path-dirname","1.0.2","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/path-dirname"
"path-is-absolute","1.0.1","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/path-is-absolute"
"path-parse","1.0.6","false","Exempt - Version closely related to 1.0.5","2","MIT","MIT","Approved","node_modules/path-parse"
"path-root","0.1.1","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/path-root"
"path-root-regex","0.1.2","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/path-root-regex"
"path-type","1.1.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/path-type"
"performance-now","2.1.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/performance-now"
"pify","2.3.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/pify"
"pinkie","2.0.4","false","Exempt - Version closely related to 2.0.1","2","MIT","MIT","Approved","node_modules/pinkie"
"pinkie-promise","2.0.1","false","Exempt - Version closely related to 2.0.0","2","MIT","MIT","Approved","node_modules/pinkie-promise"
"posix-character-classes","0.1.1","false","Previously pedigree reviewed","2","CC-BY-SA-3.0,MIT","MIT","Needs Legal Approval","node_modules/posix-character-classes"
"pretty-hrtime","1.0.3","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/pretty-hrtime"
"process-nextick-args","2.0.1","false","Exempt - Version closely related to 2.0.0","2","MIT","MIT","Approved","node_modules/process-nextick-args"
"psl","1.8.0","false","Exempt - Expected license matched","2","MIT","MIT","Approved","node_modules/psl"
"pump","2.0.1","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/pump"
"pumpify","1.5.1","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/pumpify"
"punycode","2.1.1","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/punycode"
"qs","6.5.2","false","Previously pedigree reviewed","2","BSD-3-Clause","BSD-3-Clause","Approved","node_modules/qs"
"read-pkg","1.1.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/read-pkg"
"read-pkg-up","1.0.1","false","Exempt - Expected license matched","2","MIT","MIT","Approved","node_modules/read-pkg-up"
"find-up","1.1.2","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/read-pkg-up/node_modules/find-up"
"path-exists","2.1.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/read-pkg-up/node_modules/path-exists"
"readable-stream","2.3.7","false","Exempt - Version closely related to 2.3.2","2","KEYWORD,MIT,UNKNOWN","MIT","Needs Review","node_modules/readable-stream"
"rechoir","0.6.2","false","Previously pedigree reviewed","2","MIT","","Approved","node_modules/rechoir"
"regex-not","1.0.2","false","Exempt - Version closely related to 1.0.0","2","MIT","MIT","Approved","node_modules/regex-not"
"remove-bom-buffer","3.0.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/remove-bom-buffer"
"remove-bom-stream","1.2.0","true","New package and not exempt","","MIT","MIT","Approved","node_modules/remove-bom-stream"
"remove-trailing-separator","1.1.0","false","Previously pedigree reviewed","2","ISC","ISC","Approved","node_modules/remove-trailing-separator"
"repeat-element","1.1.3","false","Exempt - Version closely related to 1.1.2","2","MIT","MIT","Approved","node_modules/repeat-element"
"repeat-string","1.6.1","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/repeat-string"
"replace-ext","1.0.1","false","Exempt - Version closely related to 1.0.0","2","MIT","MIT","Approved","node_modules/replace-ext"
"replace-homedir","1.0.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/replace-homedir"
"request","2.88.2","false","Previously pedigree reviewed","2","Apache-2.0","Apache-2.0","Approved","node_modules/request"
"form-data","2.3.3","false","Exempt - Version closely related to 2.3.1","2","MIT","MIT","Approved","node_modules/request/node_modules/form-data"
"require-directory","2.1.1","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/require-directory"
"resolve","1.17.0","false","Exempt - Expected license matched","2","MIT","MIT","Approved","node_modules/resolve"
"package","unknown","true","New version and not exempt","","","","No license information available","node_modules/resolve/test/module_dir/zmodules/bbb"
"baz","unknown","true","New version and not exempt","","","","No license information available","node_modules/resolve/test/resolver/baz"
"browser_field","unknown","true","New package and not exempt","","","","No license information available","node_modules/resolve/test/resolver/browser_field"
"package","unknown","true","New version and not exempt","","","","No license information available","node_modules/resolve/test/resolver/dot_main"
"package","unknown","true","New version and not exempt","","","","No license information available","node_modules/resolve/test/resolver/dot_slash_main"
"package","unknown","true","New version and not exempt","","","","No license information available","node_modules/resolve/test/resolver/incorrect_main"
"invalid main","unknown","true","New package and not exempt","","","","No license information available","node_modules/resolve/test/resolver/invalid_main"
"monorepo-symlink-test","0.0.0","false","Previously pedigree reviewed","2","","MIT","Approved | Reference Only","node_modules/resolve/test/resolver/multirepo"
"@my-scope/package-a","0.0.0","false","Previously pedigree reviewed","2","","MIT","Approved | Reference Only","node_modules/resolve/test/resolver/multirepo/packages/package-a"
"@my-scope/package-b","0.0.0","false","Previously pedigree reviewed","2","","MIT","Approved | Reference Only","node_modules/resolve/test/resolver/multirepo/packages/package-b"
"mylib","0.0.0","false","Previously pedigree reviewed","2","","ISC","Approved | Reference Only","node_modules/resolve/test/resolver/nested_symlinks/mylib"
"package","unknown","true","New version and not exempt","","","","No license information available","node_modules/resolve/test/resolver/symlinked/package"
"resolve-dir","1.0.1","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/resolve-dir"
"resolve-options","1.1.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/resolve-options"
"resolve-url","0.2.1","false","Previously pedigree reviewed","2","MIT,X11","MIT","Approved","node_modules/resolve-url"
"ret","0.1.15","false","Exempt - Version closely related to 0.1.13","2","MIT","MIT","Approved","node_modules/ret"
"rimraf","3.0.2","true","New version and not exempt","","ISC","ISC","Approved","node_modules/rimraf"
"safe-buffer","5.1.2","false","Exempt - Version closely related to 5.1.0","2","MIT","MIT","Approved","node_modules/safe-buffer"
"safe-regex","1.1.0","true","New package and not exempt","","MIT","MIT","Approved","node_modules/safe-regex"
"safer-buffer","2.1.2","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/safer-buffer"
"semver-greatest-satisfied-range","1.1.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/semver-greatest-satisfied-range"
"set-blocking","2.0.0","false","Previously pedigree reviewed","2","ISC","ISC","Approved","node_modules/set-blocking"
"set-value","2.0.1","false","Exempt - Version closely related to 2.0.0","2","MIT","MIT","Approved","node_modules/set-value"
"setimmediate","1.0.5","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/setimmediate"
"snapdragon","0.8.2","false","Exempt - Version closely related to 0.8.1","2","MIT","MIT","Approved","node_modules/snapdragon"
"snapdragon-node","2.1.1","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/snapdragon-node"
"snapdragon-util","3.0.1","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/snapdragon-util"
"source-map","0.5.7","false","Previously pedigree reviewed","2","BSD-3-Clause","BSD-3-Clause","Approved","node_modules/source-map"
"source-map-resolve","0.5.3","false","Exempt - Version closely related to 0.5.1","2","MIT","MIT","Approved","node_modules/source-map-resolve"
"source-map-url","0.4.0","false","Previously pedigree reviewed","2","MIT,X11","MIT","Approved","node_modules/source-map-url"
"sparkles","1.0.1","false","Exempt - Version closely related to 1.0.0","2","MIT","MIT","Approved","node_modules/sparkles"
"spdx-correct","3.1.0","false","Previously pedigree reviewed","2","AGPL-3.0,Apache-2.0,Artistic-2.0,BSD-2-Clause,BSD-3-Clause,BSL-1.0,Beerware,CC-BY-4.0,CDDL-1.1,EPL-1.0,GPL-1.0,GPL-2.0,GPL-3.0,LGPL-2.0,LGPL-2.1,LGPL-3.0,MITNFA,MPL-2.0,WTFPL,X11","Apache-2.0","Needs Legal Approval","node_modules/spdx-correct"
"spdx-exceptions","2.3.0","true","New version and not exempt","","","CC-BY-3.0","Needs Legal Approval | Reference Only","node_modules/spdx-exceptions"
"spdx-expression-parse","3.0.0","false","Previously pedigree reviewed","3.1","Apache-2.0,BSD-2-Clause,BSD-3-Clause,CC-BY-3.0,GPL-2.0,JSON,LGPL-2.1,MIT,UNKNOWN","MIT","Needs Review | Needs Legal Approval","node_modules/spdx-expression-parse"
"spdx-license-ids","3.0.5","false","Exempt - Version closely related to 3.0.0","2","0BSD,AFL-2.1,AFL-3.0,AGPL-3.0,BSD-3-Clause,CC-BY-1.0,CC0-1.0,GFDL-1.1,GFDL-1.2,GFDL-1.3,GPL-1.0,GPL-2.0,GPL-3.0","CC0-1.0","Needs Legal Approval","node_modules/spdx-license-ids"
"split-string","3.1.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/split-string"
"sshpk","1.16.1","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/sshpk"
"stack-trace","0.0.10","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/stack-trace"
"static-extend","0.1.2","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/static-extend"
"stream-exhaust","1.0.2","false","Previously pedigree reviewed","2","","MIT","Approved | Reference Only","node_modules/stream-exhaust"
"stream-shift","1.0.1","false","Exempt - Version closely related to 1.0.0","2","MIT","MIT","Approved","node_modules/stream-shift"
"string_decoder","1.1.1","false","Previously pedigree reviewed","2","KEYWORD,MIT,UNKNOWN","MIT","Needs Review","node_modules/string_decoder"
"strip-bom","2.0.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/strip-bom"
"sver-compat","1.5.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/sver-compat"
"through2","2.0.5","false","Exempt - Version closely related to 2.0.0","2","MIT","MIT","Approved","node_modules/through2"
"through2-filter","3.0.0","false","Exempt - Expected license matched","2","MIT","MIT","Approved","node_modules/through2-filter"
"time-stamp","1.1.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/time-stamp"
"to-absolute-glob","2.0.2","false","Exempt - Version closely related to 2.0.1","2","MIT","MIT","Approved","node_modules/to-absolute-glob"
"to-object-path","0.3.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/to-object-path"
"to-regex","3.0.2","false","Exempt - Version closely related to 3.0.1","2","MIT","MIT","Approved","node_modules/to-regex"
"to-through","2.0.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/to-through"
"tough-cookie","2.5.0","false","Previously pedigree reviewed","2","BSD-3-Clause","BSD-3-Clause","Approved","node_modules/tough-cookie"
"traverse","0.3.9","false","Previously pedigree reviewed","2","MIT,UNKNOWN,X11","X11","Needs Review","node_modules/traverse"
"tunnel-agent","0.6.0","false","Previously pedigree reviewed","2","Apache-2.0","Apache-2.0","Approved","node_modules/tunnel-agent"
"tweetnacl","0.14.5","false","Previously pedigree reviewed","2","Public Domain,X11","","Approved","node_modules/tweetnacl"
"type","1.2.0","false","Previously pedigree reviewed","2","ISC","ISC","Approved","node_modules/type"
"typedarray","0.0.6","false","Previously pedigree reviewed","2","KEYWORD,MIT,UNKNOWN","MIT","Needs Review","node_modules/typedarray"
"typescript","3.8.3","false","Exempt - Version closely related to 3.8.2","2","Apache-2.0,CC-BY-4.0,MIT,Unicode-DFS-2016","Apache-2.0","Needs Legal Approval","node_modules/typescript"
"unc-path-regex","0.1.2","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/unc-path-regex"
"undertaker","1.2.1","false","Exempt - Version closely related to 1.2.0","2","MIT","MIT","Approved","node_modules/undertaker"
"undertaker-registry","1.0.1","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/undertaker-registry"
"union-value","1.0.1","false","Exempt - Version closely related to 1.0.0","2","MIT","MIT","Approved","node_modules/union-value"
"unique-stream","2.3.1","false","Exempt - Expected license matched","2","MIT","MIT","Approved","node_modules/unique-stream"
"unset-value","1.0.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/unset-value"
"has-value","0.3.1","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/unset-value/node_modules/has-value"
"isobject","2.1.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/unset-value/node_modules/has-value/node_modules/isobject"
"has-values","0.1.4","false","Exempt - Expected license matched","2","MIT","MIT","Approved","node_modules/unset-value/node_modules/has-values"
"unzipper","0.10.11","false","Exempt - Version closely related to 0.10.1","2","KEYWORD,MIT,UNKNOWN","MIT","Needs Review","node_modules/unzipper"
"upath","1.2.0","false","Exempt - Expected license matched","2","MIT","MIT","Approved","node_modules/upath"
"uri-js","4.2.2","false","Previously pedigree reviewed","2","BSD-2-Clause","BSD-2-Clause","Approved","node_modules/uri-js"
"urix","0.1.0","false","Previously pedigree reviewed","2","MIT,X11","MIT","Approved","node_modules/urix"
"use","3.1.1","false","Exempt - Version closely related to 3.1.0","2","MIT","MIT","Approved","node_modules/use"
"util-deprecate","1.0.2","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/util-deprecate"
"uuid","3.4.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/uuid"
"v8flags","3.1.3","false","Exempt - Version closely related to 3.1.1","2","MIT","MIT","Approved","node_modules/v8flags"
"validate-npm-package-license","3.0.4","false","Previously pedigree reviewed","2","Apache-2.0,BSD-2-Clause,GPL-3.0","Apache-2.0","Needs Legal Approval","node_modules/validate-npm-package-license"
"value-or-function","3.0.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/value-or-function"
"verror","1.10.0","false","Exempt - Expected license matched","2","MIT","MIT","Approved","node_modules/verror"
"vinyl","2.2.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/vinyl"
"vinyl-fs","3.0.3","false","Exempt - Expected license matched","2","MIT","MIT","Approved","node_modules/vinyl-fs"
"vinyl-sourcemap","1.1.0","false","Previously pedigree reviewed","2","ISC,MIT","MIT","Approved","node_modules/vinyl-sourcemap"
"which","1.3.1","false","Previously pedigree reviewed","2","ISC","ISC","Approved","node_modules/which"
"wrappy","1.0.2","false","Previously pedigree reviewed","2","ISC","ISC","Approved","node_modules/wrappy"
"xtend","4.0.2","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/xtend"
